#1|orig_group	count
ⲁⲡⲁ	6
ⲁⲣⲁ	6
ⲉⲉⲓ	6
ⲉⲧⲟ	6
ⲣⲱ̂	6
ⲁⲩⲣϣⲡⲏⲣⲉ	6
ϣⲏⲣⲉ	6
ϩⲙⲙⲁ	6
ⲡⲉϫⲉⲡϩⲗⲗⲟ	6
ⲛ̄ϣⲏⲣⲉ`	6
ϩⲙⲡⲉⲕⲣⲁⲛ	6
ⲉϥⲥⲟⲟⲩⲛ	6
ⲉⲧⲟⲟⲧ︤ϥ︥	6
ⲓ̄ⲥ̄	6
ⲛ̄ⲁϣ	6
ⲛ̇ⲑⲉ	6
ⲛϩⲱⲃ	6
ⲛϭⲟⲙ	6
ⲁⲥⲉⲓ	6
ⲉⲁⲁϥ	6
ⲉⲓⲣⲉ	6
ⲉⲟⲩⲁ	6
ⲉⲩⲙⲁ	6
ⲕⲱⲧⲉ	6
ⲛⲁⲓ̄	6
ⲛⲥⲱⲕ	6
ⲡⲗⲏⲛ	6
ⲥⲙⲟⲩ	6
ⲧⲁⲁϥ	6
ⲕⲁⲧⲁⲥⲁⲣⲝ	6
ⲁ̇ϥⲉⲓ̇	6
[.....]	6
ⲙ̄ⲡⲛⲟⲩⲧⲉ`	6
ϩⲓϫⲱⲟⲩ	6
ⲛⲉⲧⲟⲩⲏϩ	6
ⲙ̄ⲡⲟⲛⲏⲣⲟⲛ	6
ⲙ̄ⲡⲟⲛⲏⲣⲟⲥ	6
ⲁϥϣⲱⲡⲉ	6
ϩⲙⲡⲉⲡⲛⲉⲩⲙⲁ	6
ⲛⲁⲡⲟⲥⲧⲟⲗⲟⲥ	6
ϩⲁⲣⲁⲧϥ	6
ⲉ̄ⲣⲟⲟⲩ	6
ⲛⲧⲉⲣⲟⲩⲥⲱⲧⲙ	6
ⲥⲕⲉⲡⲁⲍⲉ	6
ⲛ̄ⲧⲱⲧⲛ̄	6
ϣⲱⲡⲉ`	6
ϩⲏⲏⲧⲉ	6
ϩⲓⲱⲱⲥ	6
ϩⲟⲟⲩⲧ	6
ϩⲣⲁⲓ̄	6
ϫⲉⲛⲁⲓ	6
ϫⲉⲡⲁⲓ	6
ⲛ̇ⲣⲟⲙⲡⲉ	6
ⲛ̄ϣⲟⲣ︤ⲡ︥	6
ⲛⲧⲟⲟⲧⲟⲩ	6
