Mark_06	ⲓⲱϩⲁⲛⲛⲏⲥ ⲡ ⲉⲧ ϯⲃⲁⲡⲧⲓⲥⲙⲁ	person	John the Baptist
1Cor_01	ⲡⲉϥ ϣⲏⲣⲉ ⲓⲏⲥⲟⲩⲥ ⲡⲉ ⲭⲣⲓⲥⲧⲟⲥ ⲡⲉⲛ ϫⲟⲉⲓⲥ	person	Jesus
Mark_01	ⲓⲏⲥⲟⲩⲥ ⲡ ⲛⲁⲍⲱⲣⲁⲓⲟⲥ	person	Jesus
1Cor_05	ⲡⲉⲛ ϫⲟⲉⲓⲥ ⲓⲏⲥⲟⲩⲥ	person	Jesus
1Cor_06	ⲡⲉⲛ ϫⲟⲉⲓⲥ ⲓⲏⲥⲟⲩⲥ	person	Jesus
proclus.13.easter	ⲙⲁⲛⲁⲥⲥⲏ	person	Manasseh of Judah
life.cyrus.01	ⲧ ⲥⲩⲣⲓⲁ	place	Syria (region)
1Cor_01	ⲡⲁⲩⲗⲟⲥ ⲡ ⲁⲡⲟⲥⲧⲟⲗⲟⲥ ⲉⲧ ⲧⲁϩⲙ ⲙ ⲡⲉ ⲭⲣⲓⲥⲧⲟⲥ ⲓⲏⲥⲟⲩⲥ ϩⲓⲧⲙ ⲡ ⲟⲩⲱϣ ⲙ ⲡ ⲛⲟⲩⲧⲉ	person	Paul the Apostle
Mark_01	ⲕⲁⲫⲁⲣⲛⲁⲟⲩⲙ	place	Capernaum
Mark_02	ⲕⲁⲫⲁⲣⲛⲁⲟⲩⲙ	place	Capernaum
proclus.13.easter	ⲓⲏⲥⲟⲩⲥ ⲡ ⲉⲛⲧ ⲁ ⲩ ⲥⲧⲁⲩⲣⲟⲩ ⲙⲙⲟ ϥ ϩⲛ ⲧ ⲥⲁⲣⲝ	person	Jesus
Ruth_04	ϩⲣⲟⲩⲑ ⲧ ⲙⲱⲁⲃⲓⲧⲏⲥ ⲧ ϩⲓⲙⲉ ⲙ ⲡ ⲉⲛⲧ ⲁ ϥ ⲙⲟⲩ	person	Ruth (biblical figure)
XH204-216	ⲡⲓ ⲃⲁⲃⲉⲣⲱⲙⲉ ⲉⲧ ⲙⲙⲁⲩ ⲫⲁⲣⲁⲱ	person	Ramesses II
psephrem.letter	ⲧ ⲡⲁⲣⲑⲉⲛⲟⲥ ⲉⲧ ⲟⲩⲁⲁⲃ ⲙⲁⲣⲓⲁ ⲧ ⲣⲉϥϫⲡⲉⲡⲛⲟⲩⲧⲉ	person	Mary, mother of Jesus
Mark_01	ⲡⲉⲩ ⲉⲓⲱⲧ ⲍⲉⲃⲉⲇⲁⲓⲟⲥ	person	Zebedee
proclus.13.easter	ⲡⲣⲟⲕⲗⲟⲥ ⲡ ⲉⲡⲓⲥⲕⲟⲡⲟⲥ ⲛ ⲕⲩⲍⲓⲕⲟⲥ	person	Proclus of Constantinople
AP.025.isaac-cells.12	ⲁⲡⲁ ⲡⲁⲙⲃⲱ	person	Pambo
